Timestamp_ms,RawIr,RawGSR,IrNew
493576,75523,1849,1
498580,0,2287,0
# MARK dev_ms=498580 host_s=0.000 stage=settle idx=0 event=stage_start rate=0
498582,0,2285,0
498584,0,2290,0
498586,0,2287,0
498589,0,2286,0
498591,0,2287,0
498593,0,2311,0
498595,0,2287,0
498597,0,2291,0
498599,0,2291,0
498601,0,2287,0
498603,0,2285,0
498605,0,2291,0
498607,0,2291,0
498609,0,2290,0
498611,0,2292,0
498613,0,2291,0
498615,0,2291,0
498617,0,2291,0
498619,79976,2287,1
498621,0,2291,0
498623,0,2291,0
498625,0,2296,0
498627,0,2291,0
498629,0,2291,0
498631,0,2291,0
498633,0,2293,0
498635,0,2291,0
498637,0,2292,0
498639,0,2291,0
498641,0,2293,0
498643,0,2292,0
498645,0,2293,0
498647,0,2293,0
498649,0,2293,0
498651,0,2293,0
498653,0,2294,0
498655,0,2293,0
498657,0,2293,0
498659,79962,2293,1
498661,0,2292,0
498663,0,2291,0
498665,0,2293,0
498667,0,2293,0
498669,0,2293,0
498671,0,2293,0
498673,0,2291,0
498675,0,2293,0
498677,0,2293,0
498679,0,2293,0
498681,0,2295,0
498683,0,2292,0
498685,0,2292,0
498687,0,2293,0
498689,0,2295,0
498691,0,2295,0
498693,0,2295,0
498695,0,2294,0
498697,0,2293,0
498699,79936,2293,1
498701,0,2293,0
498703,0,2295,0
498705,0,2295,0
498707,0,2294,0
498709,0,2295,0
498711,0,2297,0
498713,0,2293,0
498715,0,2295,0
498717,0,2295,0
498719,0,2293,0
498721,0,2293,0
498723,0,2295,0
498725,0,2291,0
498727,0,2295,0
498729,0,2295,0
498731,0,2295,0
498733,0,2295,0
498735,0,2295,0
498737,0,2293,0
498739,79896,2293,1
498741,0,2295,0
498743,0,2295,0
498745,0,2293,0
498747,0,2294,0
498749,0,2293,0
498751,0,2295,0
498753,0,2293,0
498755,0,2295,0
498757,0,2295,0
498759,0,2294,0
498761,0,2293,0
498763,0,2293,0
498765,0,2295,0
498767,0,2295,0
498769,0,2295,0
498771,0,2295,0
498773,0,2296,0
498775,0,2293,0
498777,0,2301,0
498779,79852,2293,1
498781,0,2293,0
498783,0,2293,0
498785,0,2294,0
498787,0,2296,0
498789,0,2293,0
# WARNING dropped PPG samples in capture queue: 11
498791,0,2293,0
498793,0,2295,0
498795,0,2295,0
498797,0,2295,0
498799,0,2293,0
498801,0,2295,0
498803,0,2295,0
498805,0,2297,0
498807,0,2295,0
498809,0,2297,0
498811,0,2295,0
498813,0,2295,0
498815,0,2295,0
498817,0,2293,0
498819,79840,2287,1
498821,0,2293,0
498823,0,2294,0
498825,0,2294,0
498827,0,2295,0
498829,0,2295,0
498831,0,2294,0
498833,0,2293,0
498835,0,2295,0
498837,0,2295,0
498839,0,2295,0
498841,0,2293,0
498843,0,2293,0
498845,0,2295,0
498847,0,2293,0
498849,0,2294,0
498851,0,2295,0
498853,0,2296,0
498855,0,2296,0
498857,0,2295,0
498859,79773,2295,1
498861,0,2292,0
498863,0,2293,0
498865,0,2293,0
498867,0,2293,0
498869,0,2293,0
498871,0,2293,0
498873,0,2293,0
498875,0,2293,0
498877,0,2293,0
498879,0,2292,0
498881,0,2292,0
498883,0,2299,0
498885,0,2293,0
498887,0,2295,0
498889,0,2293,0
498891,0,2295,0
498893,0,2296,0
498895,0,2294,0
498897,0,2295,0
498899,79685,2291,1
498901,0,2292,0
498903,0,2293,0
498905,0,2293,0
498907,0,2291,0
498909,0,2292,0
498911,0,2293,0
498913,0,2291,0
498915,0,2293,0
498917,0,2293,0
498919,0,2294,0
498921,0,2293,0
498923,0,2292,0
498925,0,2296,0
498927,0,2295,0
498929,0,2293,0
498931,0,2294,0
498933,0,2295,0
498935,0,2295,0
498937,79675,2292,1
498939,0,2293,0
498941,0,2292,0
498943,0,2294,0
498945,0,2295,0
498947,0,2293,0
498949,0,2293,0
498951,0,2293,0
498953,0,2296,0
498955,0,2295,0
498957,0,2295,0
498959,0,2294,0
498961,0,2295,0
498963,0,2293,0
498965,0,2295,0
498967,0,2295,0
498969,0,2295,0
498971,0,2295,0
498973,0,2297,0
498975,0,2295,0
498977,79659,2297,1
498979,0,2295,0
498981,0,2297,0
498983,0,2295,0
498985,0,2295,0
498987,0,2295,0
498989,0,2296,0
498991,0,2295,0
498993,0,2295,0
498995,0,2296,0
498997,0,2296,0
498999,0,2295,0
499001,0,2297,0
499003,0,2296,0
499005,0,2296,0
499007,0,2297,0
499009,0,2297,0
499011,0,2293,0
499013,0,2295,0
499015,0,2298,0
499017,79636,2297,1
499019,0,2295,0
499021,0,2297,0
499023,0,2299,0
499025,0,2297,0
499027,0,2297,0
499029,0,2297,0
499031,0,2296,0
499033,0,2296,0
499035,0,2297,0
499037,0,2296,0
499039,0,2296,0
499041,0,2297,0
499043,0,2297,0
499045,0,2298,0
499047,0,2296,0
499049,0,2297,0
499051,0,2294,0
499053,0,2297,0
499055,0,2297,0
499057,79612,2295,1
499059,0,2295,0
499061,0,2296,0
499063,0,2292,0
499065,0,2296,0
499067,0,2297,0
499069,0,2296,0
499071,0,2296,0
499073,0,2297,0
499075,0,2295,0
499077,0,2297,0
499079,0,2297,0
499081,0,2295,0
499083,0,2299,0
499085,0,2297,0
499087,0,2297,0
499089,0,2297,0
499091,0,2297,0
499093,0,2299,0
499095,0,2296,0
499097,79608,2297,1
499099,0,2296,0
499101,0,2296,0
499103,0,2297,0
499105,0,2296,0
499107,0,2296,0
499109,0,2296,0
499111,0,2297,0
499113,0,2295,0
499115,0,2297,0
499117,0,2297,0
499119,0,2297,0
499121,0,2296,0
499123,0,2293,0
499125,0,2297,0
499127,0,2297,0
499129,0,2297,0
499131,0,2298,0
499133,0,2297,0
499135,0,2299,0
499137,79628,2300,1
499139,0,2297,0
499141,0,2297,0
499143,0,2296,0
499145,0,2295,0
499147,0,2297,0
499149,0,2297,0
499151,0,2297,0
499153,0,2296,0
499155,0,2302,0
499157,0,2300,0
499159,0,2297,0
499161,0,2297,0
499163,0,2296,0
499165,0,2297,0
499167,0,2297,0
499169,0,2297,0
499171,0,2297,0
499173,0,2297,0
499175,0,2297,0
499177,79651,2296,1
499179,0,2296,0
499181,0,2297,0
499183,0,2296,0
499185,0,2296,0
499187,0,2297,0
499189,0,2295,0
499191,0,2297,0
499193,0,2296,0
499195,0,2297,0
499197,0,2295,0
499199,0,2297,0
499201,0,2297,0
499203,0,2297,0
499205,0,2297,0
499207,0,2297,0
