39371,0,1385,0
39373,0,1383,0
39375,0,1385,0
39377,0,1383,0
39379,0,1383,0
39381,0,1383,0
39383,0,1382,0
39385,0,1382,0
39387,0,1383,0
39389,0,1382,0
39391,0,1384,0
39393,0,1383,0
39395,0,1381,0
39397,66215,1381,1
39399,0,1382,0
39401,0,1383,0
39403,0,1383,0
39405,0,1381,0
39407,0,1383,0
39409,0,1383,0
39411,0,1382,0
39413,0,1383,0
39415,0,1382,0
39417,0,1383,0
39419,0,1380,0
39421,0,1381,0
39423,0,1383,0
39425,0,1381,0
39427,0,1381,0
39429,0,1380,0
39431,0,1375,0
39433,0,1381,0
39435,0,1379,0
39437,66201,1381,1
39439,0,1381,0
39441,0,1383,0
39443,0,1379,0
39445,0,1381,0
39447,0,1380,0
39449,0,1379,0
39451,0,1381,0
39453,0,1379,0
39455,0,1381,0
39457,0,1381,0
39459,0,1381,0
39461,0,1379,0
39463,0,1385,0
39465,0,1379,0
39467,0,1380,0
39469,0,1379,0
39471,0,1379,0
39473,0,1379,0
39475,0,1379,0
39477,66197,1381,1
39479,0,1379,0
39481,0,1379,0
39483,0,1380,0
39485,0,1368,0
39487,0,1383,0
39489,0,1379,0
39491,0,1379,0
39493,0,1379,0
39495,0,1381,0
39497,0,1379,0
39499,0,1379,0
39501,0,1379,0
39503,0,1379,0
39505,0,1379,0
39507,0,1381,0
39509,0,1379,0
39511,0,1381,0
39513,0,1379,0
39515,0,1379,0
39517,66184,1378,1
39519,0,1375,0
39521,0,1377,0
39523,0,1380,0
39525,0,1381,0
39527,0,1375,0
39529,0,1376,0
39531,0,1380,0
39533,0,1379,0
39535,0,1378,0
39537,0,1380,0
39539,0,1375,0
39541,0,1379,0
39543,0,1375,0
39545,0,1375,0
39547,0,1379,0
39549,0,1377,0
39551,0,1379,0
39553,0,1379,0
39555,0,1383,0
39557,66205,1379,1
39559,0,1377,0
39561,0,1365,0
39563,0,1379,0
39565,0,1378,0
39567,0,1376,0
39569,0,1378,0
