1900,0
32944,0,1909,0
32946,0,1913,0
32948,0,1919,0
32950,0,1929,0
32952,0,1935,0
32954,66521,1933,1
32956,0,1939,0
32958,0,1944,0
32960,0,1948,0
32962,0,1955,0
32964,0,1959,0
32966,0,1963,0
32968,0,1971,0
32970,0,1976,0
32972,0,1979,0
32974,0,1989,0
32976,0,1992,0
32978,0,1996,0
32980,0,2003,0
32982,0,2007,0
32984,0,2011,0
32986,0,2012,0
32988,0,2019,0
32990,0,2025,0
32992,0,2028,0
32994,66542,2025,1
32996,0,2031,0
32998,0,2032,0
33000,0,2037,0
33002,0,2041,0
33004,0,2045,0
33006,0,2055,0
33008,0,2058,0
33010,0,2063,0
33012,0,2069,0
33014,0,2073,0
33016,0,2075,0
33018,0,2079,0
33020,0,2085,0
33022,0,2087,0
33024,0,2091,0
33026,0,2095,0
33028,0,2101,0
33030,0,2108,0
33032,0,2105,0
33034,66543,2101,1
33036,0,2101,0
33038,0,2105,0
33040,0,2109,0
33042,0,2117,0
33044,0,2118,0
33046,0,2122,0
33048,0,2111,0
33050,0,2133,0
33052,0,2133,0
33054,0,2135,0
33056,0,2139,0
33058,0,2141,0
33060,0,2149,0
33062,0,2149,0
33064,0,2152,0
33066,0,2155,0
33068,0,2157,0
33070,0,2167,0
33072,0,2163,0
33074,66550,2155,1
33076,0,2156,0
33078,0,2158,0
33080,0,2165,0
33082,0,2165,0
33084,0,2167,0
33086,0,2171,0
33088,0,2173,0
33090,0,2182,0
33092,0,2185,0
33094,0,2187,0
33096,0,2189,0
33098,0,2191,0
33100,0,2195,0
33102,0,2197,0
33104,0,2200,0
33106,0,2202,0
33108,0,2206,0
33110,0,2211,0
33112,0,2215,0
33114,66531,2199,1
33116,0,2200,0
33118,0,2199,0
33120,0,2203,0
33122,0,2207,0
33124,0,2208,0
33126,0,2211,0
33128,0,2215,0
33130,0,2217,0
33132,0,2219,0
33134,0,2223,0
33136,0,2223,0
33138,0,2228,0
33140,0,2231,0
33142,0,2232,0
33144,0,2237,0
33146,0,2237,0
33148,0,2237,0
33150,0,2240,0
33152,0,2247,0
33154,66511,2228,1
33156,0,2227,0
33158,0,2231,0
33160,0,2232,0
33162,0,2233,0
33164,0,2237,0
33166,0,2237,0
33168,0,2245,0
33170,0,2247,0
33172,0,2249,0
33174,0,2251,0
33176,0,2255,0
33178,0,2257,0
33180,0,2259,0
33182,0,2263,0
33184,0,2262,0
33186,0,2265,0
33188,0,2268,0
33190,0,2269,0
33192,0,2273,0
33194,66487,2251,1
33196,0,2252,0
33198,0,2253,0
33200,0,2259,0
33202,0,2259,0
33204,0,2261,0
33206,0,2263,0
33208,0,2265,0
33210,0,2267,0
33212,0,2267,0
33214,0,2269,0
33216,0,2272,0
33218,0,2275,0
33220,0,2277,0
33222,0,2280,0
33224,0,2283,0
33226,0,2283,0
33228,0,2285,0
33230,0,2291,0
33232,66540,2288,1
33234,0,2285,0
33236,0,2287,0
33238,0,2291,0
33240,0,2291,0
33242,0,2295,0
33244,0,2297,0
33246,0,2297,0
33248,0,2297,0
33250,0,2299,0
33252,0,2301,0
33254,0,2303,0
33256,0,2309,0
33258,0,2311,0
33260,0,2312,0
33262,0,2314,0
33264,0,2315,0
33266,0,2317,0
33268,0,2319,0
33270,0,2321,0
33272,66571,2323,1
33274,0,2322,0
33276,0,2323,0
33278,0,2325,0
33280,0,2327,0
33282,0,2327,0
33284,0,2328,0
33286,0,2329,0
33288,0,2331,0
33290,0,2332,0
33292,0,2333,0
33294,0,2334,0
33296,0,2335,0
33298,0,2340,0
33300,0,2341,0
33302,0,2341,0
33304,0,2341,0
33306,0,2343,0
33308,0,2345,0
33310,0,2347,0
33312,66591,2344,1
33314,0,2342,0
33316,0,2345,0
33318,0,2345,0
33320,0,2347,0
33322,0,2347,0
33324,0,2348,0
33326,0,2349,0
33328,0,2351,0
33330,0,2352,0
33332,0,2355,0
33334,0,2357,0
33336,0,2356,0
33338,0,2359,0
33340,0,2359,0
33342,0,2359,0
33344,0,2361,0
33346,0,2361,0
33348,0,2361,0
33350,0,2362,0
33352,66588,2359,1
33354,0,2359,0
33356,0,2359,0
33358,0,2361,0
33360,0,2361,0
33362,0,2365,0
33364,0,2361,0
33366,0,2363,0
33368,0,2366,0
33370,0,2366,0
33372,0,2367,0
33374,0,2374,0
33376,0,2375,0
33378,0,2374,0
33380,0,2375,0
33382,0,2368,0
33384,0,2377,0
33386,0,2379,0
33388,0,2381,0
33390,0,2381,0
33392,66595,2373,1
33394,0,2367,0
33396,0,2373,0
33398,0,2375,0
33400,0,2375,0
33402,0,2375,0
33404,0,2378,0
33406,0,2377,0
33408,0,2379,0
33410,0,2379,0
33412,0,2381,0
33414,0,2383,0
33416,0,2381,0
33418,0,2382,0
33420,0,2382,0
33422,0,2386,0
33424,0,2389,0
33426,0,2387,0
33428,0,2385,0
33430,0,2387,0
33432,66597,2375,1
33434,0,2367,0
33436,0,2378,0
33438,0,2379,0
33440,0,2379,0
33442,0,2380,0
33444,0,2379,0
33446,0,2379,0
33448,0,2381,0
33450,0,2383,0
33452,0,2386,0
33454,0,2387,0
33456,0,2387,0
33458,0,2387,0
33460,0,2389,0
33462,0,2389,0
33464,0,2390,0
33466,0,2389,0
33468,0,2392,0
33470,0,2392,0
33472,66649,2379,1
33474,0,2379,0
33476,0,2378,0
33478,0,2380,0
33480,0,2379,0
33482,0,2380,0
33484,0,2381,0
33486,0,2383,0
33488,0,2387,0
33490,0,2387,0
33492,0,2387,0
33494,0,2389,0
33496,0,2388,0
33498,0,2389,0
33500,0,2389,0
33502,0,2391,0
33504,0,2390,0
33506,0,2393,0
33508,0,2393,0
33510,0,2397,0
33512,66672,2377,1
33514,0,2377,0
33516,0,2377,0
33518,0,2379,0
33520,0,2380,0
33522,0,2379,0
33524,0,2388,0
33526,0,2382,0
33528,0,2387,0
33530,0,2387,0
33532,0,2387,0
33534,0,2387,0
33536,0,2389,0
33538,0,2389,0
33540,0,2391,0
33542,0,2393,0
